#AFEnr  Phi(°)  passing_fraction    passing_fraction_err (first line loss SPE, second 2PE, third 3PE)
0	0.0	0.86691	0.00053531
0	0.0	0.98872	7.4155e-05
0	0.0	0.99926	6.4102e-06
0	2.81	0.86798	0.00052966
0	2.81	0.98889	7.2967e-05
0	2.81	0.99928	6.2692e-06
0	5.62	0.86644	0.00053778
0	5.62	0.98865	7.4676e-05
0	5.62	0.99926	6.4722e-06
0	8.44	0.8673	0.00053324
0	8.44	0.98878	7.3719e-05
0	8.44	0.99927	6.3584e-06
0	11.25	0.8658	0.00054118
0	11.25	0.98855	7.5393e-05
0	11.25	0.99925	6.5579e-06
0	14.06	0.86587	0.00054081
0	14.06	0.98856	7.5315e-05
0	14.06	0.99925	6.5486e-06
0	16.88	0.8654	0.00054334
0	16.88	0.98849	7.585e-05
0	16.88	0.99924	6.6126e-06
0	19.69	0.86585	0.00054093
0	19.69	0.98856	7.5341e-05
0	19.69	0.99925	6.5517e-06
0	22.5	0.86498	0.00054559
0	22.5	0.98842	7.6326e-05
0	22.5	0.99923	6.6696e-06
0	25.31	0.86589	0.00054072
0	25.31	0.98856	7.5297e-05
0	25.31	0.99925	6.5464e-06
0	28.12	0.86508	0.00054505
0	28.12	0.98844	7.6212e-05
0	28.12	0.99924	6.656e-06
0	30.94	0.86585	0.00054093
0	30.94	0.98856	7.534e-05
0	30.94	0.99925	6.5516e-06
0	33.75	0.86558	0.00054237
0	33.75	0.98852	7.5645e-05
0	33.75	0.99924	6.5881e-06
0	36.56	0.86654	0.00053727
0	36.56	0.98867	7.4568e-05
0	36.56	0.99926	6.4594e-06
0	39.38	0.86589	0.00054071
0	39.38	0.98856	7.5294e-05
0	39.38	0.99925	6.5461e-06
0	42.19	0.8661	0.00053961
0	42.19	0.9886	7.5062e-05
0	42.19	0.99925	6.5183e-06
0	45.0	0.86616	0.00053928
0	45.0	0.98861	7.4992e-05
0	45.0	0.99925	6.51e-06
0	47.81	0.86616	0.00053925
0	47.81	0.98861	7.4987e-05
0	47.81	0.99925	6.5094e-06
0	50.62	0.86521	0.00054433
0	50.62	0.98846	7.606e-05
0	50.62	0.99924	6.6378e-06
0	53.44	0.86608	0.00053968
0	53.44	0.9886	7.5078e-05
0	53.44	0.99925	6.5202e-06
0	56.25	0.86519	0.00054447
0	56.25	0.98845	7.609e-05
0	56.25	0.99924	6.6413e-06
0	59.06	0.86597	0.00054026
0	59.06	0.98858	7.52e-05
0	59.06	0.99925	6.5348e-06
0	61.87	0.86544	0.00054311
0	61.87	0.98849	7.5801e-05
0	61.87	0.99924	6.6068e-06
0	64.69	0.86602	0.00054002
0	64.69	0.98859	7.5149e-05
0	64.69	0.99925	6.5287e-06
0	67.5	0.86531	0.00054383
0	67.5	0.98847	7.5954e-05
0	67.5	0.99924	6.6251e-06
0	70.31	0.86579	0.00054124
0	70.31	0.98855	7.5406e-05
0	70.31	0.99925	6.5594e-06
0	73.12	0.86483	0.00054636
0	73.12	0.9884	7.6489e-05
0	73.12	0.99923	6.6892e-06
0	75.94	0.86582	0.00054107
0	75.94	0.98855	7.5371e-05
0	75.94	0.99925	6.5553e-06
0	78.75	0.86422	0.00054963
0	78.75	0.9883	7.7182e-05
0	78.75	0.99922	6.7725e-06
0	81.56	0.86543	0.00054318
0	81.56	0.98849	7.5816e-05
0	81.56	0.99924	6.6085e-06
0	84.37	0.86465	0.00054731
0	84.37	0.98837	7.6691e-05
0	84.37	0.99923	6.7135e-06
0	87.19	0.86577	0.00054135
0	87.19	0.98855	7.5431e-05
0	87.19	0.99925	6.5624e-06
0	90.0	0.86479	0.00054657
0	90.0	0.98839	7.6533e-05
0	90.0	0.99923	6.6945e-06
0	92.81	0.86573	0.00054155
0	92.81	0.98854	7.5471e-05
0	92.81	0.99925	6.5672e-06
0	95.62	0.86463	0.00054746
0	95.62	0.98837	7.6722e-05
0	95.62	0.99923	6.7172e-06
0	98.44	0.86528	0.00054395
0	98.44	0.98847	7.5979e-05
0	98.44	0.99924	6.6281e-06
0	101.25	0.86497	0.00054563
0	101.25	0.98842	7.6335e-05
0	101.25	0.99923	6.6707e-06
0	104.06	0.86579	0.00054126
0	104.06	0.98855	7.5411e-05
0	104.06	0.99925	6.56e-06
0	106.88	0.86516	0.00054459
0	106.88	0.98845	7.6115e-05
0	106.88	0.99924	6.6444e-06
0	109.69	0.86566	0.00054196
0	109.69	0.98853	7.5559e-05
0	109.69	0.99924	6.5777e-06
0	112.5	0.865	0.00054544
0	112.5	0.98843	7.6295e-05
0	112.5	0.99923	6.6659e-06
0	115.31	0.86492	0.00054591
0	115.31	0.98841	7.6394e-05
0	115.31	0.99923	6.6778e-06
0	118.12	0.8651	0.00054493
0	118.12	0.98844	7.6187e-05
0	118.12	0.99924	6.653e-06
0	120.94	0.86587	0.00054084
0	120.94	0.98856	7.5321e-05
0	120.94	0.99925	6.5493e-06
0	123.75	0.86531	0.00054381
0	123.75	0.98847	7.595e-05
0	123.75	0.99924	6.6246e-06
0	126.56	0.86556	0.0005425
0	126.56	0.98851	7.5672e-05
0	126.56	0.99924	6.5913e-06
0	129.38	0.86507	0.00054511
0	129.38	0.98844	7.6225e-05
0	129.38	0.99924	6.6576e-06
0	132.19	0.86523	0.00054421
0	132.19	0.98846	7.6035e-05
0	132.19	0.99924	6.6347e-06
0	135.0	0.86526	0.00054406
0	135.0	0.98847	7.6002e-05
0	135.0	0.99924	6.6307e-06
0	137.81	0.86523	0.00054424
0	137.81	0.98846	7.604e-05
0	137.81	0.99924	6.6353e-06
